Product_ID,Product_Name,Product_SubCategory,Product_Color,Standard_Cost,General_Price,Product_Number,Sale_DateStart,Sale_DateEnd,Import_Flag,Warehouse_ID
42456,MattressRed49790,Mattress,Red,37351,122,4051,2017-01-27,2017-04-14,1,3
31686,MattressOrangeRed43353,Mattress,OrangeRed,11816,147,4795,2017-12-02,2017-12-30,1,3
354,BikeHotPink53423,Bike,HotPink,14730,118,7652,2017-01-03,2017-02-04,1,5
21126,LampCornflowerBlue32560,Lamp,CornflowerBlue,653,365,5998,2017-06-25,2017-09-14,1,1
3250,StickerLightSalmon36970,Sticker,LightSalmon,44356,139,3314,2017-03-09,2017-12-18,1,1
16537,LaptopThistle5795,Laptop,Thistle,6916,208,6178,2017-07-25,2017-12-08,0,5
50581,LaptopMediumVioletRed42113,Laptop,MediumVioletRed,40574,135,4335,2017-06-16,2017-06-23,1,3
26784,LampPaleTurquoise46253,Lamp,PaleTurquoise,27387,129,1677,2017-12-16,,1,3
53111,JewelryAzure20827,Jewelry,Azure,12018,204,8616,2017-10-05,,0,1
45702,LampMediumBlue44520,Lamp,MediumBlue,48820,468,204,2017-01-12,,0,3
24013,LaptopGreen4877,Laptop,Green,13555,433,690,2017-03-25,2017-09-09,0,5
22716,BikeYellow18292,Bike,Yellow,27452,408,1694,2017-09-27,2017-12-30,1,6
45125,JewelryDeepPink27896,Jewelry,DeepPink,39425,3,5884,2017-03-10,2017-08-16,1,1
21852,LampAntiqueWhite48,Lamp,AntiqueWhite,17440,107,8620,2017-08-12,,0,1
46763,ClotherOrangeRed39775,Clother,OrangeRed,31094,288,8042,2017-03-20,2017-03-28,1,3
31674,JewelryMistyRose35801,Jewelry,MistyRose,28232,266,4835,2017-12-22,,1,1
18599,ClotherSlateGray39569,Clother,SlateGray,6146,378,769,2017-01-02,2017-10-20,1,3
25530,JewelryTurquoise42583,Jewelry,Turquoise,42107,201,3140,2017-09-12,2017-10-06,0,5
24653,MattressViolet43059,Mattress,Violet,1418,347,5324,2017-07-12,2017-11-15,0,1
23790,BikeWhiteSmoke21673,Bike,WhiteSmoke,42725,302,1012,2017-10-03,,0,3
28921,MattressPaleTurquoise32563,Mattress,PaleTurquoise,47636,141,4629,2017-08-20,2017-11-23,0,6
1163,LaptopLightCyan5893,Laptop,LightCyan,6926,121,8709,2017-11-30,,1,1
15056,ClotherFireBrick32164,Clother,FireBrick,27021,392,1940,2017-12-09,,0,3
6135,MattressDeepSkyBlue55771,Mattress,DeepSkyBlue,8155,437,1790,2017-11-25,,1,1
31753,MattressOliveDrab11425,Mattress,OliveDrab,20974,253,403,2017-07-26,2017-10-27,0,1
20251,BikeMediumPurple44798,Bike,MediumPurple,38649,418,3918,2017-03-07,2017-05-30,1,1
17568,LaptopDarkKhaki56295,Laptop,DarkKhaki,25553,267,5652,2017-02-01,2017-10-07,1,1
24514,PhoneHoneyDew38843,Phone,HoneyDew,44749,220,5676,2017-02-05,,1,3
45469,LampBisque15980,Lamp,Bisque,4786,430,4799,2017-09-19,,1,3
28390,PhoneCadetBlue16558,Phone,CadetBlue,6976,359,9441,2017-05-27,,1,1
13709,StickerDeepPink55678,Sticker,DeepPink,29966,35,8845,2017-05-27,2017-10-18,0,6
33015,ClotherGainsboro34002,Clother,Gainsboro,7392,229,3442,2017-03-09,2017-10-11,1,1
56503,ClotherDimGray39241,Clother,DimGray,273,356,4908,2017-06-19,,0,1
12595,JewelryCornsilk56007,Jewelry,Cornsilk,32500,441,2937,2017-12-27,,0,3
30108,BikeSandyBrown825,Bike,SandyBrown,25757,57,4295,2017-03-25,2017-12-09,1,3
12316,BikeDarkCyan6607,Bike,DarkCyan,7843,479,6617,2017-12-15,,0,5
20462,LampAquamarine7612,Lamp,Aquamarine,23770,411,8652,2017-03-27,2017-08-08,0,1
25588,LaptopBlue9032,Laptop,Blue,6798,70,1240,2017-06-23,2017-12-14,1,6
14150,WatchFireBrick45399,Watch,FireBrick,46365,351,4386,2017-11-14,2017-11-29,0,1
56005,MattressPapayaWhip21018,Mattress,PapayaWhip,46977,148,5144,2017-08-09,,0,1
45024,JewelryLawnGreen12462,Jewelry,LawnGreen,26610,209,2319,2017-08-20,2017-12-03,0,5
48664,WatchLawnGreen14604,Watch,LawnGreen,19178,479,7134,2017-04-23,2017-06-09,0,1
51886,WatchChocolate25743,Watch,Chocolate,25669,143,426,2017-11-07,,0,5
409,LampDarkOliveGreen36932,Lamp,DarkOliveGreen,1328,146,723,2017-01-08,2017-05-29,0,3
31986,JewelryDarkGray51528,Jewelry,DarkGray,5957,293,806,2017-06-08,,0,1
15480,LampAliceBlue4744,Lamp,AliceBlue,6209,337,3569,2017-10-29,,0,5
28819,StickerNavy35308,Sticker,Navy,22236,360,5709,2017-10-10,,0,6
28501,PhoneOrange24841,Phone,Orange,38901,247,6819,2017-12-30,,0,3
473,JewelryIndianRed52522,Jewelry,IndianRed,13715,205,6510,2017-02-20,2017-10-16,1,3
50201,PhoneLightGreen43501,Phone,LightGreen,42431,287,8867,2017-11-01,,1,1
53212,MattressMediumOrchid12377,Mattress,MediumOrchid,1125,212,5284,2017-03-11,,0,1
48740,BikeMediumAquaMarine25887,Bike,MediumAquaMarine,44255,163,5187,2017-03-12,2017-03-17,0,3
53728,JewelryOldLace7140,Jewelry,OldLace,25271,394,9686,2017-08-07,2017-12-25,0,3
48643,LaptopLime524,Laptop,Lime,12002,300,4930,2017-05-21,,1,1
38725,WatchPaleTurquoise48440,Watch,PaleTurquoise,28959,487,2996,2017-05-16,,0,1
23946,ClotherMistyRose13105,Clother,MistyRose,2554,167,8447,2017-11-20,,0,1
24560,StickerLightCoral37137,Sticker,LightCoral,41249,12,1389,2017-04-18,,1,5
18085,WatchLightYellow55230,Watch,LightYellow,4801,274,1265,2017-08-19,,0,5
4289,LampWhite16026,Lamp,White,39037,28,2128,2017-08-07,2017-12-18,1,3
45134,ClotherDarkGray4990,Clother,DarkGray,9206,386,9448,2017-11-18,,1,6
8779,MattressLightGoldenRodYellow34607,Mattress,LightGoldenRodYellow,31086,334,4549,2017-04-05,2017-09-29,0,1
19306,LampHotPink22883,Lamp,HotPink,12806,195,8083,2017-05-08,,0,1
39008,ClotherDarkViolet17377,Clother,DarkViolet,15102,155,4913,2017-02-24,2017-04-07,1,1
9944,LampDarkCyan56605,Lamp,DarkCyan,7034,255,5528,2017-11-12,,0,1
52750,BikeLavender43715,Bike,Lavender,44321,150,2626,2017-01-16,2017-04-18,0,1
1758,ClotherCyan20138,Clother,Cyan,16986,339,5209,2017-06-15,2017-12-11,1,1
8885,ClotherWheat42064,Clother,Wheat,7428,304,6813,2017-06-24,,1,5
37388,MattressSienna6709,Mattress,Sienna,29099,355,6984,2017-12-15,,1,3
6879,JewelryLinen29189,Jewelry,Linen,17394,85,6400,2017-08-23,,1,3
12543,LampDarkSlateGray10582,Lamp,DarkSlateGray,33903,475,1523,2017-03-31,2017-12-12,0,3
24022,PhoneLime51874,Phone,Lime,19433,406,7534,2017-07-10,2017-12-20,0,3
22414,BikeLightSeaGreen19268,Bike,LightSeaGreen,28182,360,9092,2017-07-14,2017-08-16,0,3
18484,WatchPink1235,Watch,Pink,12675,369,1289,2017-04-04,2017-04-21,0,1
1532,PhonePapayaWhip5508,Phone,PapayaWhip,38672,271,3666,2017-02-02,2017-04-13,0,5
38010,PhoneOlive43568,Phone,Olive,46588,193,2006,2017-06-23,,0,5
17640,MattressDodgerBlue23471,Mattress,DodgerBlue,32578,120,3474,2017-04-24,2017-05-17,0,3
51008,WatchDeepPink9709,Watch,DeepPink,42799,254,3487,2017-07-11,2017-12-16,0,1
10034,WatchMediumOrchid17938,Watch,MediumOrchid,44989,7,2546,2017-04-12,2017-11-14,0,1
41307,BikePurple33407,Bike,Purple,35040,123,6952,2017-12-28,,0,5
29324,PhoneWhiteSmoke3752,Phone,WhiteSmoke,44782,188,1736,2017-06-15,,0,5
42136,ClotherSpringGreen22934,Clother,SpringGreen,12402,44,3028,2017-01-27,,1,3
8105,StickerMediumSpringGreen38847,Sticker,MediumSpringGreen,21151,58,2587,2017-12-16,,1,6
34806,JewelryDarkOliveGreen54921,Jewelry,DarkOliveGreen,35679,69,5627,2017-06-10,2017-09-01,0,3
45544,StickerDarkViolet2778,Sticker,DarkViolet,22165,156,3279,2017-04-07,2017-12-17,1,5
28705,LaptopAntiqueWhite34018,Laptop,AntiqueWhite,16541,272,1989,2017-08-30,2017-09-06,0,3
13568,MattressGhostWhite46233,Mattress,GhostWhite,37436,489,6681,2017-01-10,2017-02-20,1,1
49215,BikePaleGreen29001,Bike,PaleGreen,33323,235,5228,2017-10-10,2017-10-24,1,1
31672,LaptopDarkCyan17762,Laptop,DarkCyan,4253,219,3210,2017-10-30,,0,6
5477,MattressMediumVioletRed5532,Mattress,MediumVioletRed,25204,355,6437,2017-12-02,,1,6
12357,ClotherMediumSpringGreen52590,Clother,MediumSpringGreen,32317,21,5167,2017-07-15,,1,5
19279,BikeAqua8506,Bike,Aqua,3691,436,2747,2017-08-03,,1,1
26421,BikeLightCoral26491,Bike,LightCoral,47033,117,3209,2017-05-09,2017-07-07,1,3
11624,LampBlack49452,Lamp,Black,17732,75,4477,2017-03-28,2017-12-15,1,1
43890,WatchDarkRed27530,Watch,DarkRed,30114,225,6667,2017-09-16,,0,5
54894,PhoneAqua13836,Phone,Aqua,20243,2,3768,2017-08-15,2017-11-23,0,5
11853,LampOldLace11250,Lamp,OldLace,13174,217,8674,2017-01-16,2017-12-20,0,1
1130,WatchBlanchedAlmond39609,Watch,BlanchedAlmond,46000,68,4536,2017-04-19,,1,1
13004,StickerCrimson5469,Sticker,Crimson,1465,153,3582,2017-07-28,,0,1
43762,JewelryMediumOrchid45929,Jewelry,MediumOrchid,34622,32,8717,2017-05-06,,0,6
29247,ClotherSkyBlue31416,Clother,SkyBlue,36282,451,9403,2017-10-04,,1,3
36963,WatchSandyBrown15578,Watch,SandyBrown,38015,413,1766,2017-07-31,2017-08-01,0,3
38925,StickerBlue3686,Sticker,Blue,27879,309,6705,2017-12-28,,1,1
13549,JewelryBisque21134,Jewelry,Bisque,290,223,9668,2017-03-22,2017-11-01,1,3
38344,WatchDarkGoldenRod37446,Watch,DarkGoldenRod,6899,142,6677,2017-02-20,2017-10-02,1,5
12492,JewelryBlack49144,Jewelry,Black,48435,92,7089,2017-08-02,,1,3
44246,LaptopChartreuse43834,Laptop,Chartreuse,9396,203,7474,2017-06-03,,1,3
52326,PhoneLime3936,Phone,Lime,17843,117,2319,2017-05-28,2017-08-13,0,1
21098,PhoneIndigo33394,Phone,Indigo,4013,187,6572,2017-06-10,,0,3
4821,ClotherNavy43319,Clother,Navy,10629,250,8874,2017-02-08,2017-10-04,0,6
31499,PhoneTurquoise23788,Phone,Turquoise,30736,333,333,2017-03-04,2017-11-28,0,3
28683,BikeGreenYellow45869,Bike,GreenYellow,32714,67,6995,2017-04-26,2017-12-15,0,1
52840,JewelrySeaGreen10767,Jewelry,SeaGreen,12369,434,7952,2017-01-28,2017-02-20,1,3
37615,JewelryDarkMagenta14670,Jewelry,DarkMagenta,26776,390,8082,2017-04-27,2017-09-10,1,1
34584,MattressDarkRed4641,Mattress,DarkRed,47241,224,6953,2017-09-27,2017-10-17,1,6
12462,ClotherDarkSlateGray22976,Clother,DarkSlateGray,4903,463,309,2017-04-12,2017-09-25,0,3
20642,LampDarkBlue52951,Lamp,DarkBlue,9521,477,3594,2017-07-15,,0,3
18488,LaptopAntiqueWhite50276,Laptop,AntiqueWhite,4816,395,9772,2017-06-15,2017-12-04,0,5
24915,BikeViolet36403,Bike,Violet,35869,22,1098,2017-11-03,,0,6
12574,BikeCoral45376,Bike,Coral,27165,368,9993,2017-08-14,2017-10-14,0,3
26458,MattressMediumAquaMarine38465,Mattress,MediumAquaMarine,46093,199,65,2017-07-10,2017-07-28,1,6
24450,StickerSeaShell46642,Sticker,SeaShell,3637,485,4110,2017-12-05,,0,3
19430,BikeLightSkyBlue16269,Bike,LightSkyBlue,11583,336,4890,2017-03-26,2017-08-06,0,6
44983,BikeGold41973,Bike,Gold,15343,229,6812,2017-11-17,,0,1
33413,LaptopDarkSeaGreen11198,Laptop,DarkSeaGreen,6385,412,3018,2017-05-31,2017-08-02,0,1
28823,StickerSilver12886,Sticker,Silver,15257,33,4967,2017-02-22,2017-10-26,0,3
27831,LaptopLightSalmon56515,Laptop,LightSalmon,19114,269,9185,2017-11-22,,1,5
25989,JewelryLightCyan36086,Jewelry,LightCyan,22050,193,1246,2017-10-17,,0,3
55206,JewelrySienna4429,Jewelry,Sienna,8423,171,6012,2017-01-27,2017-06-10,1,6
47454,LaptopPaleGoldenRod11786,Laptop,PaleGoldenRod,20218,460,8388,2017-04-29,2017-08-16,0,1
34216,ClotherLinen34098,Clother,Linen,9905,243,3143,2017-11-21,,0,6
46192,WatchHoneyDew18975,Watch,HoneyDew,38239,431,4524,2017-12-27,,1,3
49012,WatchDodgerBlue45531,Watch,DodgerBlue,39689,141,1373,2017-05-06,,0,6
11558,LaptopPink22466,Laptop,Pink,21910,5,1267,2017-02-27,2017-09-10,1,3
46857,LampMidnightBlue28003,Lamp,MidnightBlue,1660,185,1031,2017-11-21,,1,5
42712,MattressMediumSpringGreen9575,Mattress,MediumSpringGreen,30204,55,9073,2017-11-22,,0,1
55441,WatchRosyBrown24808,Watch,RosyBrown,31590,285,5057,2017-11-30,,1,1
13920,StickerPeru20698,Sticker,Peru,1591,249,6691,2017-02-27,2017-08-24,1,5
54519,ClotherMaroon13979,Clother,Maroon,7244,100,2080,2017-10-12,,1,5
2595,WatchSlateGray44335,Watch,SlateGray,22198,376,4410,2017-05-09,2017-11-20,1,1
6949,PhoneAliceBlue50500,Phone,AliceBlue,1974,190,4556,2017-06-13,2017-09-24,0,3
25409,WatchIndigo37872,Watch,Indigo,46049,34,9629,2017-02-08,2017-09-10,1,5
38495,MattressAzure54522,Mattress,Azure,25961,418,4797,2017-10-03,2017-11-22,1,6
26583,StickerGhostWhite23663,Sticker,GhostWhite,24692,308,9552,2017-10-05,,1,3
21802,LampLightGoldenRodYellow21920,Lamp,LightGoldenRodYellow,6170,316,2920,2017-06-22,2017-12-06,0,1
12460,BikeDarkGreen29357,Bike,DarkGreen,45905,84,63,2017-09-20,,0,1
23345,MattressChartreuse48491,Mattress,Chartreuse,20001,120,2647,2017-02-02,2017-07-28,1,6
31481,StickerCyan37492,Sticker,Cyan,38306,166,484,2017-01-16,2017-12-01,1,1
7497,PhoneDarkKhaki27205,Phone,DarkKhaki,31477,467,6210,2017-08-13,,1,1
39452,StickerBlue15860,Sticker,Blue,41636,138,3202,2017-09-16,,0,3
48690,LaptopTomato32435,Laptop,Tomato,43395,2,8271,2017-01-11,2017-12-12,0,1
4896,ClotherFuchsia42265,Clother,Fuchsia,23685,235,8107,2017-11-10,,0,3
50713,PhonePaleGreen10475,Phone,PaleGreen,36038,400,7575,2017-03-14,2017-11-25,1,1
30524,PhoneDodgerBlue4328,Phone,DodgerBlue,30271,416,451,2017-07-01,,0,3
3368,BikeSandyBrown53876,Bike,SandyBrown,38252,426,1352,2017-02-13,2017-08-11,0,3
55787,ClotherPurple10264,Clother,Purple,47794,290,566,2017-02-18,,1,1
24470,LaptopMediumSpringGreen8008,Laptop,MediumSpringGreen,24348,212,8144,2017-08-27,,0,1
12641,StickerDarkRed11610,Sticker,DarkRed,30013,5,8093,2017-06-12,2017-07-29,0,3
39081,StickerAzure47854,Sticker,Azure,9175,356,6603,2017-02-12,2017-02-18,0,1
46581,LaptopLightBlue39126,Laptop,LightBlue,1634,58,1353,2017-12-19,,1,1
12529,WatchMoccasin7484,Watch,Moccasin,20679,65,5212,2017-03-29,2017-08-17,0,3
44950,WatchViolet35608,Watch,Violet,32114,51,9494,2017-02-20,2017-12-29,1,5
54037,JewelrySilver10039,Jewelry,Silver,33262,91,7992,2017-09-07,2017-11-20,1,5
8856,PhoneBrown45173,Phone,Brown,11227,354,4565,2017-05-15,2017-11-27,1,5
16034,ClotherLightGreen38281,Clother,LightGreen,27084,147,5213,2017-08-31,,1,1
52825,WatchLightYellow51709,Watch,LightYellow,9924,348,4249,2017-03-17,2017-12-05,0,1
55468,JewelrySlateGray50320,Jewelry,SlateGray,20182,368,7784,2017-01-04,2017-02-08,1,3
47657,LampLightBlue39916,Lamp,LightBlue,42453,286,3930,2017-06-01,,1,1
6298,LaptopFuchsia56391,Laptop,Fuchsia,16721,433,1632,2017-04-20,,0,5
37859,LampSaddleBrown27055,Lamp,SaddleBrown,25107,212,3793,2017-11-18,,0,3
47637,LampDarkGoldenRod28066,Lamp,DarkGoldenRod,20930,157,8163,2017-06-11,2017-10-20,1,1
22770,StickerPaleGreen30877,Sticker,PaleGreen,26082,127,530,2017-02-15,2017-04-20,1,6
34312,ClotherCadetBlue20488,Clother,CadetBlue,19842,167,8031,2017-01-31,2017-08-27,0,3
55133,LaptopBlanchedAlmond40009,Laptop,BlanchedAlmond,46279,53,6457,2017-04-07,,1,1
15124,BikeMagenta6588,Bike,Magenta,47759,197,6871,2017-04-18,,0,1
14841,BikeLightSlateGray36354,Bike,LightSlateGray,1524,36,8364,2017-08-18,,0,5
14767,PhoneGreenYellow15588,Phone,GreenYellow,18755,399,1045,2017-02-02,2017-12-03,0,1
30398,LaptopCornflowerBlue1514,Laptop,CornflowerBlue,32223,387,2131,2017-10-21,,1,1
25070,ClotherMediumSeaGreen50708,Clother,MediumSeaGreen,30443,69,9967,2017-01-03,2017-10-24,0,3
53926,PhonePowderBlue14248,Phone,PowderBlue,49960,491,1210,2017-04-18,2017-07-23,0,1
