Order_ID,Product_ID,Customer_ID,Quantity,Date_Order,Date_Ship,Date_due,Ship_Distance,Ship_Cost
71,10,116,129,2017-05-24,2017-06-01,2017-05-25,2403.28,359.957
72,10,50,1,2018-01-08,2018-01-10,2018-01-16,3632.094,4.188
73,11,385,145,2018-09-14,2018-09-14,2018-09-22,3135.922,197.903
74,11,345,11,2017-01-18,2017-01-24,2017-01-23,1756.059,8.511
75,11,154,1,2018-04-28,2018-04-29,2018-05-01,113.55,0.07
76,12,869,219,2017-02-24,2017-02-26,2017-02-24,3867.209,1383.056
77,12,714,286,2018-05-18,2018-05-21,2018-05-22,2138.585,1009.133
78,12,6,3,2017-12-05,2017-12-07,2017-12-05,3430.588,16.834
79,12,815,336,2018-01-27,2018-02-01,2018-01-27,2709.182,1494.647
80,12,752,26,2018-04-09,2018-04-10,2018-04-17,3888.963,165.11
81,13,834,1401,2017-10-31,2017-11-02,2017-11-03,2852.928,7059.502
82,13,550,5059,2017-10-06,2017-10-14,2017-10-11,2308.523,20711.163
83,13,3,238,2018-10-14,2018-10-20,2018-10-16,398.83,185.421
84,13,402,139,2018-06-26,2018-07-04,2018-06-28,1172.801,295.033
85,13,837,506,2018-08-20,2018-08-20,2018-08-29,2792.055,2496.219
86,13,200,239,2018-06-10,2018-06-11,2018-06-11,2697.893,1139.98
87,13,951,159,2017-09-23,2017-09-29,2017-09-26,1502.542,428.489
88,13,576,33,2017-04-02,2017-04-09,2017-04-07,1402.79,83.218
89,13,351,45,2018-06-01,2018-06-03,2018-06-01,1791.052,143.806
90,13,947,369,2018-01-02,2018-01-10,2018-01-06,1522.989,1007.515
91,13,205,31,2018-12-01,2018-12-07,2018-12-07,1581.892,87.812
92,13,46,1,2018-12-14,2018-12-17,2018-12-21,1854.798,3.306
93,13,180,2,2017-10-05,2017-10-09,2017-10-12,64.926,0.399
94,13,334,1,2017-07-14,2017-07-15,2017-07-20,581.362,1.096
95,14,585,13,2018-06-21,2018-06-21,2018-06-26,1500.737,13.019
96,14,892,4,2018-07-30,2018-07-30,2018-08-03,1196.454,3.22
97,14,194,7,2018-07-29,2018-07-29,2018-08-04,1550.158,7.234
98,14,751,7,2017-08-07,2017-08-08,2017-08-09,622.15,3.039
99,14,76,4,2018-08-15,2018-08-20,2018-08-19,1102.751,2.978
100,14,299,2,2018-04-19,2018-04-22,2018-04-27,1260.257,1.692
101,15,809,477,2017-10-06,2017-10-13,2017-10-13,1198.107,732.872
102,15,304,44,2018-10-26,2018-11-02,2018-10-27,1049.813,59.57
103,15,342,423,2018-07-10,2018-07-13,2018-07-14,1010.985,552.469
104,15,929,9,2018-08-05,2018-08-10,2018-08-12,985.827,11.476
105,15,679,6,2017-03-04,2017-03-04,2017-03-11,1221.873,9.394
106,15,104,8,2017-05-30,2017-06-07,2017-06-03,6693.46,66.41
107,15,817,2,2017-05-05,2017-05-07,2017-05-07,1387.541,3.539
108,15,506,1,2018-05-11,2018-05-16,2018-05-15,986.739,1.276
109,15,676,1,2018-07-06,2018-07-14,2018-07-12,1080.916,1.392
110,16,520,2298,2018-11-11,2018-11-16,2018-11-11,2204.658,10132.363
111,16,714,364,2017-11-09,2017-11-17,2017-11-15,117.436,119.187
112,16,106,494,2017-11-21,2017-11-30,2017-11-29,1637.232,1629.978
113,16,987,7,2018-07-05,2018-07-05,2018-07-07,2188.981,30.65
114,16,992,65,2017-12-12,2017-12-12,2017-12-15,1116.409,148.267
115,16,627,6,2018-06-29,2018-06-30,2018-07-04,2139.163,25.687
116,16,615,27,2018-02-14,2018-02-19,2018-02-20,1418.458,77.536
117,16,712,25,2018-04-15,2018-04-24,2018-04-15,2139.163,107.028
118,16,855,3,2018-11-18,2018-11-18,2018-11-24,2021.682,12.154
119,16,552,8,2017-09-11,2017-09-14,2017-09-16,2203.537,35.256
120,16,274,1,2017-02-08,2017-02-17,2017-02-17,1865.577,3.746
121,16,798,1,2018-11-11,2018-11-20,2018-11-16,822.324,1.706
122,16,325,1,2017-05-27,2017-06-02,2017-06-03,1917.568,3.848
123,17,159,1016,2017-03-06,2017-03-14,2017-03-07,3854.739,7228.265
124,17,335,92,2017-01-12,2017-01-16,2017-01-20,1358.78,236.145
125,17,780,8,2017-11-21,2017-11-24,2017-11-21,1369.65,20.693
126,17,622,4,2017-06-15,2017-06-15,2017-06-23,3962.926,29.246
127,17,511,1,2018-08-10,2018-08-10,2018-08-19,1265.614,2.397
128,17,645,1,2018-06-09,2018-06-15,2018-06-16,1469.907,2.769
129,18,352,450,2017-03-17,2017-03-19,2017-03-18,1460.24,926.17
130,18,329,1535,2018-04-18,2018-04-25,2018-04-20,3726.138,7899.296
131,18,820,102,2018-11-10,2018-11-13,2018-11-13,3344.409,471.842
132,18,588,110,2018-06-19,2018-06-21,2018-06-20,99.613,22.428
133,18,409,158,2018-01-05,2018-01-09,2018-01-12,991.797,224.322
134,18,518,27,2017-03-05,2017-03-05,2017-03-08,1924.324,72.646
135,18,677,112,2018-12-11,2018-12-16,2018-12-20,228.552,42.516
136,18,442,4,2018-09-08,2018-09-09,2018-09-11,556.26,3.305
137,18,466,1,2017-04-14,2017-04-21,2017-04-20,1241.685,1.76
138,19,95,1464,2018-09-27,2018-10-04,2018-10-04,1702.673,4406.699
139,19,613,795,2017-09-27,2017-09-28,2017-09-28,1221.873,1736.53
140,19,178,104,2017-08-05,2017-08-05,2017-08-05,1775.907,326.125
141,19,974,22,2017-02-01,2017-02-03,2017-02-09,1981.543,76.757
142,19,731,6,2017-07-21,2017-07-27,2017-07-24,1172.647,12.599
143,19,885,12,2017-10-12,2017-10-18,2017-10-12,1001.662,21.673
144,19,887,5,2018-10-20,2018-10-29,2018-10-28,1387.541,12.344
145,20,505,183,2018-04-17,2018-04-24,2018-04-23,3478.926,1263.43
146,20,365,123,2018-07-08,2018-07-15,2018-07-13,2225.5,547.57
147,20,455,14,2018-05-13,2018-05-18,2018-05-17,3459.341,96.119
148,20,183,25,2018-11-08,2018-11-14,2018-11-10,3474.117,172.365
149,20,797,14,2017-06-11,2017-06-15,2017-06-18,3509.406,97.491
150,20,753,1,2017-08-15,2017-08-15,2017-08-16,3465.304,6.877
151,21,806,7,2017-04-28,2017-05-01,2017-05-02,1505.691,6.68
152,21,160,171,2017-09-20,2017-09-29,2017-09-24,196.367,25.842
153,21,969,100,2018-07-13,2018-07-14,2018-07-17,1332.776,84.819
154,21,998,62,2018-08-29,2018-09-05,2018-08-29,2324.835,90.317
155,21,76,1,2017-02-02,2017-02-05,2017-02-03,348.877,0.245
156,21,950,1,2017-04-27,2017-05-04,2017-04-30,2021.682,1.271
157,22,119,167,2017-10-08,2017-10-12,2017-10-14,1373.239,8.034
158,22,301,163,2017-04-11,2017-04-14,2017-04-12,4134.076,23.052
159,22,461,21,2018-01-07,2018-01-15,2018-01-09,611.728,0.47
160,22,906,14,2017-02-07,2017-02-10,2017-02-09,1452.374,0.711
161,22,387,10,2018-10-28,2018-11-03,2018-11-05,3025.893,1.04
162,23,13,55,2017-02-25,2017-02-28,2017-03-01,1216.086,39.831
163,23,794,233,2018-10-11,2018-10-14,2018-10-14,2782.143,377.457
164,23,75,1,2017-11-19,2017-11-20,2017-11-20,1067.174,0.639
165,23,626,11,2018-03-12,2018-03-17,2018-03-17,2778.724,17.798
166,23,332,3,2017-09-19,2017-09-28,2017-09-28,1094.892,1.965
167,24,247,11,2017-09-24,2017-09-25,2017-09-29,1532.162,30.387
168,24,840,322,2017-04-01,2017-04-09,2017-04-07,1807.252,1044.169
169,24,230,2095,2017-11-28,2017-11-28,2017-12-01,2377.404,8879.128
170,24,998,437,2017-09-18,2017-09-26,2017-09-26,2324.835,1812.004
171,24,901,518,2018-11-26,2018-11-27,2018-11-28,1293.813,1215.382
172,24,787,490,2018-05-02,2018-05-08,2018-05-06,1172.294,1045.721
173,24,813,72,2018-09-19,2018-09-26,2018-09-20,2465.419,316.218
174,24,308,12,2017-02-21,2017-03-02,2017-02-22,1934.409,41.577
175,24,205,1,2017-06-03,2017-06-12,2017-06-05,1329.746,2.409
176,25,792,166,2017-02-17,2017-02-21,2017-02-17,3486.716,961.074
177,25,96,150,2017-03-18,2017-03-22,2017-03-24,3278.772,817.38
178,25,803,139,2018-02-08,2018-02-11,2018-02-13,3557.35,820.827
179,25,271,32,2018-12-16,2018-12-21,2018-12-25,2535.905,135.46
180,25,452,8,2018-03-31,2018-04-08,2018-04-08,3491.141,46.375
181,25,151,22,2017-06-18,2017-06-23,2017-06-19,1501.295,55.868
182,25,435,10,2017-10-14,2017-10-16,2017-10-17,1276.48,21.714
183,26,723,789,2018-03-31,2018-04-09,2018-04-02,1622.11,1896.09
184,26,940,31,2017-12-01,2017-12-03,2017-12-05,1014.819,47.441
185,26,957,199,2017-03-31,2017-03-31,2017-04-09,1537.298,453.972
186,26,943,710,2018-11-02,2018-11-10,2018-11-02,1201.806,1277.358
187,26,534,61,2018-12-03,2018-12-09,2018-12-08,3965.139,352.004
188,26,399,82,2018-08-08,2018-08-16,2018-08-10,1442.153,175.851
189,26,658,18,2017-04-03,2017-04-09,2017-04-07,2885.464,75.939
190,26,757,2,2017-07-19,2017-07-21,2017-07-26,824.084,2.512
191,26,871,3,2017-02-02,2017-02-11,2017-02-04,3308.898,14.482
192,26,534,1,2018-04-30,2018-05-01,2018-05-01,3965.139,5.771
193,27,265,539,2017-06-03,2017-06-08,2017-06-07,252.533,89.49
194,27,348,14,2017-10-08,2017-10-14,2017-10-09,341.822,3.01
195,27,346,16,2017-03-23,2017-03-30,2017-03-28,99.613,1.314
196,27,552,28,2017-04-26,2017-05-02,2017-04-30,316.912,5.638
197,27,145,2,2018-05-11,2018-05-19,2018-05-16,1304.522,1.487
198,27,153,7,2018-11-13,2018-11-19,2018-11-19,3747.104,14.587
199,27,516,6,2018-06-12,2018-06-15,2018-06-18,263.419,1.032
200,27,929,4,2018-01-23,2018-01-30,2018-01-31,92.81,0.313
201,27,158,7,2018-11-11,2018-11-13,2018-11-17,567.417,2.372
202,28,487,764,2018-04-19,2018-04-21,2018-04-19,3883.506,3693.99
203,28,305,61,2017-09-22,2017-09-30,2017-10-01,497.469,41.05
204,28,539,22,2018-11-30,2018-12-03,2018-12-09,2660.046,73.286
205,28,796,14,2017-09-07,2017-09-07,2017-09-13,3648.556,63.648
206,28,523,16,2017-04-26,2017-04-29,2017-05-03,3687.921,73.514
207,28,455,5,2018-09-02,2018-09-03,2018-09-06,3857.72,24.017
208,28,525,1,2018-03-29,2018-04-01,2018-04-06,1564.785,1.985
209,28,151,1,2018-07-03,2018-07-12,2018-07-08,121.994,0.211
210,29,194,1087,2017-02-21,2017-03-02,2017-02-22,2048.932,4267.847
211,29,245,1343,2018-02-06,2018-02-06,2018-02-06,654.828,1770.68
212,29,879,147,2017-06-24,2017-06-25,2017-06-24,273.884,89.061
213,29,460,205,2017-08-22,2017-08-22,2017-08-31,262.211,119.724
214,29,438,137,2018-10-18,2018-10-23,2018-10-22,262.211,80.011
215,29,850,26,2018-11-01,2018-11-02,2018-11-10,530.589,28.237
216,29,504,2,2017-04-26,2017-05-03,2017-05-01,991.797,3.898
217,30,182,43,2017-10-16,2017-10-22,2017-10-20,2709.182,128.374
218,30,864,238,2018-12-01,2018-12-07,2018-12-07,3485.699,910.499
219,30,500,219,2017-01-27,2017-02-02,2017-01-28,3485.699,837.812
220,30,985,12,2018-06-12,2018-06-21,2018-06-21,831.165,11.441
221,30,13,1,2018-02-07,2018-02-16,2018-02-14,3964.293,4.343
222,30,664,69,2017-03-01,2017-03-10,2017-03-06,2670.905,203.137
223,30,374,58,2018-12-05,2018-12-14,2018-12-07,3929.747,249.753
224,30,237,1,2017-08-13,2017-08-19,2017-08-20,63.836,0.123
225,30,766,1,2017-11-21,2017-11-26,2017-11-30,3753.849,4.116
226,31,413,1642,2017-10-29,2017-11-05,2017-11-05,1477.147,4259.368
227,31,643,59,2017-07-01,2017-07-10,2017-07-01,6693.46,675.812
228,31,688,363,2018-05-26,2018-05-26,2018-06-03,1499.089,955.156
229,31,131,30,2017-05-22,2017-05-25,2017-05-28,1354.13,71.552
230,31,918,2,2018-03-19,2018-03-22,2018-03-23,888.316,3.188
231,31,683,9,2017-02-20,2017-02-25,2017-02-23,1477.147,23.346
232,31,786,4,2018-10-03,2018-10-06,2018-10-12,1172.647,8.307
233,31,540,12,2017-11-13,2017-11-17,2017-11-22,1030.922,22.033
234,32,900,17,2017-10-26,2017-10-26,2017-10-27,37.652,1.625
235,32,271,2,2018-05-13,2018-05-14,2018-05-15,1932.953,4.324
236,33,636,186,2017-08-11,2017-08-19,2017-08-15,3166.921,45.594
237,33,723,97,2017-02-13,2017-02-13,2017-02-18,4062.37,30.396
238,33,676,148,2017-11-21,2017-11-22,2017-11-26,3753.849,42.898
239,33,855,88,2018-11-23,2018-11-30,2018-12-01,141.764,1.286
240,33,150,2,2017-03-05,2017-03-13,2017-03-13,2407.666,0.375
241,34,682,109,2017-04-28,2017-05-07,2017-05-02,1345.931,224.157
242,34,3,25,2017-11-16,2017-11-16,2017-11-23,1222.691,46.873
243,34,372,62,2017-12-29,2018-01-02,2018-01-03,3967.252,366.929
244,34,283,1,2017-02-06,2017-02-07,2017-02-11,3674.325,5.487
245,34,41,11,2018-08-28,2018-08-29,2018-08-28,1222.691,20.624
246,34,911,1,2017-01-26,2017-02-02,2017-02-02,1477.147,2.25
247,35,251,387,2017-04-14,2017-04-21,2017-04-17,3363.118,1676.457
248,35,714,166,2017-03-23,2017-03-31,2017-03-29,1293.188,282.993
249,35,798,58,2018-05-20,2018-05-24,2018-05-22,1547.331,117.585
250,35,723,36,2017-10-25,2017-11-03,2017-11-03,1622.11,76.401
251,35,577,13,2018-08-27,2018-09-01,2018-08-28,3430.588,57.428
252,35,385,4,2018-11-16,2018-11-16,2018-11-23,3466.088,17.85
253,36,694,1062,2018-06-29,2018-07-04,2018-07-06,6732.927,10221.722
254,36,192,4,2018-05-07,2018-05-11,2018-05-14,6417.922,36.712
255,36,574,85,2017-04-07,2017-04-15,2017-04-15,7516.398,912.621
256,36,767,21,2018-04-29,2018-05-02,2018-05-08,4065.395,122.635
257,36,819,3,2018-10-22,2018-10-23,2018-10-26,7865.471,33.696
258,36,445,46,2018-09-13,2018-09-16,2018-09-22,7475.136,491.196
259,36,780,7,2018-11-09,2018-11-17,2018-11-18,6768.389,67.727
260,36,169,6,2017-04-05,2017-04-11,2017-04-14,7590.883,65.054
261,36,906,1,2017-05-27,2017-05-27,2017-06-05,5470.641,7.834
262,36,941,1,2017-11-01,2017-11-06,2017-11-05,6654.705,9.514
263,37,864,1223,2018-08-11,2018-08-13,2018-08-16,1413.901,3216.544
264,37,147,628,2017-10-04,2017-10-13,2017-10-11,6106.897,6946.61
265,37,227,385,2017-02-28,2017-02-28,2017-02-28,1523.081,1088.086
266,37,875,3,2018-01-13,2018-01-16,2018-01-13,1523.081,8.479
267,37,25,77,2018-02-08,2018-02-16,2018-02-14,1338.024,192.017
268,37,929,7,2018-03-21,2018-03-23,2018-03-23,1831.63,23.664
269,37,769,1,2017-03-14,2017-03-23,2017-03-23,1556.143,2.886
270,38,531,24,2018-11-19,2018-11-26,2018-11-28,3474.117,97.299
271,38,164,9,2018-01-26,2018-02-03,2018-02-01,2532.967,26.743
272,38,801,1,2017-11-23,2017-11-29,2017-11-26,3645.558,4.251
273,39,551,552,2017-03-30,2017-03-31,2017-04-04,228.552,79.279
274,39,849,191,2018-11-24,2018-11-30,2018-11-29,3700.464,369.344
275,39,943,141,2018-12-18,2018-12-19,2018-12-19,1728.845,129.321
276,39,913,102,2017-11-19,2017-11-19,2017-11-20,3589.593,191.411
277,39,981,57,2017-11-19,2017-11-28,2017-11-20,991.198,30.6
278,39,463,2,2018-07-25,2018-07-25,2018-08-03,2451.382,2.579
279,39,486,2,2017-12-13,2017-12-18,2017-12-21,3592.943,3.757
280,39,532,1,2017-11-20,2017-11-20,2017-11-26,1425.176,0.761
281,39,781,1,2018-12-16,2018-12-19,2018-12-24,0.0,0.026
282,40,238,37,2017-07-16,2017-07-16,2017-07-20,1293.813,85.679
283,40,81,41,2017-02-24,2017-02-25,2017-02-28,1807.252,131.217
284,40,699,6,2018-06-22,2018-06-22,2018-06-26,1865.577,19.806
285,40,30,19,2017-09-28,2017-09-30,2017-09-28,1742.566,58.69
286,40,348,4,2018-10-07,2018-10-09,2018-10-16,2252.416,15.87
287,40,757,15,2017-10-12,2017-10-12,2017-10-19,702.716,19.456
288,40,121,4,2018-11-25,2018-11-26,2018-11-27,1212.836,8.704
289,41,742,76,2017-01-03,2017-01-05,2017-01-10,1864.432,149.454
290,41,558,281,2018-06-08,2018-06-16,2018-06-09,1284.074,385.071
291,41,886,116,2018-08-04,2018-08-04,2018-08-07,2713.317,329.264
292,41,471,3,2017-10-14,2017-10-22,2017-10-14,1203.928,3.864
293,41,430,15,2018-04-15,2018-04-17,2018-04-16,475.652,8.099
294,42,146,2585,2017-05-26,2017-05-31,2017-05-27,1505.691,1154.964
295,42,510,40,2018-01-06,2018-01-10,2018-01-14,1321.047,15.751
296,42,401,99,2017-07-20,2017-07-21,2017-07-20,0.0,1.422
297,42,854,636,2017-06-11,2017-06-15,2017-06-15,1589.905,299.544
298,42,990,122,2018-01-03,2018-01-06,2018-01-06,1218.609,44.45
299,42,88,17,2018-11-14,2018-11-20,2018-11-21,2445.705,12.185
300,42,972,71,2017-09-11,2017-09-13,2017-09-18,1212.836,25.751
301,42,40,42,2017-03-04,2017-03-05,2017-03-10,1116.409,14.07
302,43,410,14,2018-03-28,2018-03-31,2018-03-29,1795.657,24.413
303,43,732,8,2017-10-20,2017-10-21,2017-10-21,76.935,0.959
304,43,688,4,2018-09-17,2018-09-19,2018-09-20,1499.089,5.854
305,43,608,4,2018-01-30,2018-02-01,2018-02-01,1981.543,7.678
306,44,609,983,2018-08-10,2018-08-12,2018-08-13,72.734,3.209
307,44,806,139,2017-10-17,2017-10-22,2017-10-25,1001.662,3.888
308,44,956,65,2017-02-05,2017-02-06,2017-02-12,2750.214,4.842
309,44,466,16,2017-01-16,2017-01-20,2017-01-16,1613.155,0.708
310,44,496,42,2018-06-30,2018-06-30,2018-07-01,1260.306,1.464
311,44,313,31,2017-11-23,2017-11-26,2017-11-29,1613.155,1.371
312,44,348,5,2017-11-20,2017-11-28,2017-11-21,1258.475,0.174
313,44,829,2,2018-04-05,2018-04-10,2018-04-08,985.827,0.055
314,45,441,1468,2018-05-10,2018-05-14,2018-05-11,184.83,432.568
315,45,369,15,2017-07-12,2017-07-17,2017-07-19,460.831,9.615
316,45,196,38,2017-10-14,2017-10-21,2017-10-20,1056.386,52.755
317,45,532,83,2017-02-14,2017-02-18,2017-02-18,1119.589,121.811
318,45,31,34,2017-01-07,2017-01-12,2017-01-15,1287.588,57.066
319,45,765,14,2018-12-02,2018-12-05,2018-12-07,3962.926,70.496
320,45,58,14,2017-06-08,2017-06-12,2017-06-11,1425.605,25.922
321,46,669,3,2018-01-01,2018-01-02,2018-01-03,3292.37,16.777
322,46,808,1,2018-09-11,2018-09-12,2018-09-14,3386.304,5.75
323,46,184,1,2017-03-29,2017-04-04,2017-04-05,2989.647,5.086
324,46,525,1,2018-06-19,2018-06-20,2018-06-28,371.661,0.706
325,47,472,46,2018-06-30,2018-07-05,2018-07-04,500.133,16.009
326,47,840,10,2017-05-24,2017-06-02,2017-05-29,131.742,1.15
327,47,619,12,2017-12-02,2017-12-04,2017-12-05,268.847,2.42
328,47,623,7,2017-12-19,2017-12-23,2017-12-25,924.095,4.313
329,47,2,11,2017-04-21,2017-04-25,2017-04-26,3726.138,26.277
330,48,68,107,2018-05-06,2018-05-13,2018-05-07,1004.104,125.782
331,48,302,181,2018-01-11,2018-01-20,2018-01-13,3052.153,626.173
332,48,370,45,2017-08-17,2017-08-17,2017-08-25,818.075,43.563
333,48,119,8,2017-12-15,2017-12-22,2017-12-20,2913.687,26.441
334,48,281,8,2017-01-07,2017-01-09,2017-01-10,866.253,8.174
335,48,836,4,2017-03-30,2017-04-08,2017-04-06,822.551,3.892
336,49,236,309,2017-08-22,2017-08-28,2017-08-29,1183.95,360.625
337,49,532,286,2017-05-02,2017-05-07,2017-05-10,800.29,230.002
338,49,743,15,2018-08-07,2018-08-12,2018-08-08,578.895,8.922
339,49,928,86,2018-06-11,2018-06-17,2018-06-20,1791.052,149.749
340,49,968,13,2017-06-30,2017-07-06,2017-07-09,1156.353,14.833
341,49,261,4,2017-11-11,2017-11-14,2017-11-18,552.716,2.28
342,50,32,702,2017-01-17,2017-01-18,2017-01-20,2709.182,2978.635
343,50,61,394,2018-11-18,2018-11-26,2018-11-18,1258.475,792.796
344,50,776,242,2017-01-01,2017-01-04,2017-01-05,1064.654,414.816
345,50,742,20,2018-02-13,2018-02-20,2018-02-21,1864.432,58.88
346,50,717,14,2017-11-04,2017-11-09,2017-11-05,1313.242,29.35
347,50,191,27,2018-08-03,2018-08-06,2018-08-07,888.316,38.959
348,50,349,19,2017-08-09,2017-08-18,2017-08-17,429.11,13.999
349,50,62,8,2018-12-07,2018-12-09,2018-12-14,68.793,1.461
350,51,688,520,2017-03-08,2017-03-08,2017-03-08,1203.442,1224.192
351,51,311,1494,2018-09-08,2018-09-11,2018-09-11,1904.344,5483.949
352,51,194,95,2018-02-19,2018-02-23,2018-02-20,2048.932,374.51
353,51,286,26,2018-02-16,2018-02-19,2018-02-25,99.613,7.306
354,51,893,32,2017-05-08,2017-05-08,2017-05-13,2150.774,132.272
355,51,859,26,2018-10-31,2018-11-03,2018-11-03,3715.572,183.885
356,51,841,1,2018-02-08,2018-02-09,2018-02-14,279.554,0.619
357,51,952,1,2018-02-11,2018-02-18,2018-02-13,24.888,0.141
358,52,658,2751,2018-02-17,2018-02-18,2018-02-21,2308.523,5906.945
359,52,254,32,2018-05-08,2018-05-14,2018-05-12,1030.202,31.469
360,52,449,617,2018-07-30,2018-08-08,2018-08-08,2887.389,1649.981
361,52,196,431,2017-08-05,2017-08-08,2017-08-10,957.352,395.267
362,52,113,9,2017-10-16,2017-10-22,2017-10-23,2896.222,24.14
363,52,507,11,2017-04-18,2017-04-19,2017-04-19,2852.928,29.071
364,52,770,17,2018-06-26,2018-06-27,2018-06-30,426.936,7.381
