Import_ID,Product,Warehouse,Suppiler,Quantity,Ship_Distance,Ship_Cost,ImportDate,ModifiedDate
83,11,1,2,46,3137.899,31.411,2018-07-21,2018-07-21
84,11,1,3,2,3000.983,1.307,2018-09-04,2018-09-04
85,11,1,4,1,1012.876,0.2275,2017-05-02,2017-05-02
86,11,1,5,1,3304.698,0.7185,2018-12-09,2018-12-09
87,12,5,6,600,4123.426,2018.519,2017-09-11,2017-09-11
88,12,5,8,325,2638.873,704.4375,2017-01-27,2017-01-27
89,12,5,5,475,480.932,203.2925,2017-12-03,2017-12-03
90,12,5,2,208,33.637,14.0235,2018-06-23,2018-06-23
91,12,5,2,94,33.637,6.3375,2018-08-04,2018-08-04
92,12,5,2,9,33.637,0.607,2017-02-15,2017-02-15
93,12,5,5,1,480.932,0.428,2018-07-12,2018-07-12
94,12,5,3,1,144.865,0.157,2017-05-30,2017-05-30
95,13,0,9,75,1502.542,101.059,2018-01-14,2018-01-14
96,13,0,3,46,2646.458,107.652,2017-04-16,2017-04-16
97,13,0,8,10,1337.98,12.0465,2018-07-27,2018-07-27
98,13,0,4,17,1183.95,18.206,2018-10-26,2018-10-26
99,13,0,2,9,2783.975,22.1365,2017-08-27,2017-08-27
100,13,0,9,7,1502.542,9.432,2018-03-15,2018-03-15
101,13,0,5,7,2958.194,18.2755,2017-08-22,2017-08-22
102,14,2,4,1626,1260.257,687.9315,2017-05-12,2017-05-12
103,14,2,3,56,2607.866,48.0605,2017-12-24,2017-12-24
104,14,2,4,8,1260.257,3.3845,2017-07-30,2017-07-30
105,14,2,9,213,1524.123,108.2645,2017-11-29,2017-11-29
106,14,2,2,14,2742.816,12.625,2017-04-02,2017-04-02
107,14,2,0,2,1093.438,0.7385,2018-06-15,2018-06-15
108,14,2,0,1,1093.438,0.369,2018-03-27,2018-03-27
109,14,2,1,1,1187.446,0.3995,2017-11-29,2017-11-29
110,14,2,3,1,2607.866,0.858,2018-03-01,2018-03-01
111,15,2,8,773,1387.541,683.9555,2017-01-07,2017-01-07
112,15,2,2,30,2742.816,51.5695,2017-11-10,2017-11-10
113,15,2,3,691,2607.866,1130.4185,2017-03-28,2017-03-28
114,15,2,3,1,2607.866,1.636,2018-01-02,2018-01-02
115,16,8,6,116,2467.573,285.555,2018-08-06,2018-08-06
116,16,8,6,481,2467.573,1184.0695,2017-09-24,2017-09-24
117,16,8,6,547,2467.573,1346.5405,2018-11-19,2018-11-19
118,16,8,3,39,1934.409,75.674,2018-06-21,2018-06-21
119,16,8,6,14,2467.573,34.4635,2017-04-23,2017-04-23
120,16,8,7,10,1251.834,12.7295,2018-06-29,2018-06-29
121,16,8,3,1,1934.409,1.9405,2017-01-09,2017-01-09
122,17,3,6,3776,1643.49,5825.497,2017-03-09,2017-03-09
123,17,3,3,174,3294.129,530.0915,2017-07-31,2017-07-31
124,17,3,9,402,1441.869,546.355,2017-07-05,2017-07-05
125,17,3,4,10,551.84,5.483,2017-09-21,2017-09-21
126,17,3,8,51,840.123,41.356,2018-07-09,2018-07-09
127,17,3,8,33,840.123,26.76,2018-01-21,2018-01-21
128,17,3,8,2,840.123,1.622,2018-01-25,2018-01-25
129,17,3,0,1,1207.707,1.146,2017-10-14,2017-10-14
130,17,3,9,9,1441.869,12.232,2018-05-20,2018-05-20
131,17,3,1,7,1351.26,8.936,2018-01-14,2018-01-14
132,17,3,1,2,1351.26,2.553,2018-07-12,2018-07-12
133,18,9,0,272,99.613,27.7295,2017-04-04,2017-04-04
134,18,9,9,367,2082.259,533.222,2017-03-23,2017-03-23
135,18,9,5,32,3931.846,86.8235,2018-11-15,2018-11-15
136,18,9,1,30,254.885,6.2325,2018-03-01,2018-03-01
137,18,9,3,12,3579.279,29.676,2018-09-03,2018-09-03
138,19,2,7,878,125.984,132.681,2017-03-21,2017-03-21
139,19,2,9,810,1524.123,1094.8765,2018-09-08,2018-09-08
140,19,2,0,963,1093.438,945.541,2018-05-28,2018-05-28
141,19,2,5,316,2907.22,802.4395,2018-03-12,2018-03-12
142,19,2,6,44,1415.658,55.3765,2018-10-24,2018-10-24
143,19,2,9,159,1524.123,214.92,2018-04-04,2018-04-04
144,19,2,2,5,2742.816,11.991,2017-12-26,2017-12-26
145,19,2,9,9,1524.123,12.1655,2018-09-26,2018-09-26
146,19,2,3,4,2607.866,9.129,2017-08-21,2017-08-21
147,20,6,1,3522,3467.988,12120.244,2018-04-07,2018-04-07
148,20,6,4,773,3564.579,2733.159,2018-05-09,2018-05-09
149,20,6,1,406,3467.988,1397.166,2017-06-27,2017-06-27
150,20,6,2,31,1524.831,47.7555,2018-05-31,2018-05-31
151,20,6,2,90,1524.831,138.645,2018-05-12,2018-05-12
152,20,6,8,3,3046.883,9.088,2018-12-10,2018-12-10
153,20,6,3,12,1551.196,18.7955,2017-04-23,2017-04-23
154,20,6,7,4,2424.416,9.682,2018-04-01,2018-04-01
155,20,6,7,1,2424.416,2.4205,2018-07-20,2018-07-20
156,21,8,5,24,2457.793,18.4595,2017-04-24,2017-04-24
157,21,8,0,664,2015.263,420.5885,2017-07-06,2017-07-06
158,21,8,9,1229,191.84,91.158,2017-10-03,2017-10-03
159,21,8,2,387,2102.949,255.54,2018-07-11,2018-07-11
160,21,8,0,12,2015.263,7.601,2017-02-10,2017-02-10
161,21,8,9,49,191.84,3.6345,2017-04-25,2017-04-25
162,21,8,6,3,2467.573,2.3165,2017-06-09,2017-06-09
163,21,8,9,2,191.84,0.1485,2017-05-25,2017-05-25
164,22,5,9,779,2050.667,27.6555,2018-06-23,2018-06-23
165,22,5,6,5374,4123.426,379.033,2018-03-12,2018-03-12
166,22,5,7,8,2726.715,0.3755,2017-02-22,2017-02-22
167,22,5,7,2,2726.715,0.094,2018-09-14,2018-09-14
168,22,5,7,4,2726.715,0.1875,2017-11-13,2017-11-13
169,22,5,6,10,4123.426,0.7055,2017-03-25,2017-03-25
170,22,5,9,1,2050.667,0.0355,2018-06-10,2018-06-10
171,22,5,3,3,144.865,0.01,2017-08-19,2017-08-19
172,22,5,5,1,480.932,0.009,2017-02-12,2017-02-12
173,23,0,1,589,1134.972,199.6135,2017-11-29,2017-11-29
174,23,0,1,244,1134.972,82.692,2018-02-12,2018-02-12
175,23,0,4,57,1183.95,20.116,2017-12-09,2017-12-09
176,23,0,0,42,1035.101,13.034,2017-11-06,2017-11-06
177,23,0,1,63,1134.972,21.351,2018-04-19,2018-04-19
178,24,8,8,730,568.882,394.4075,2017-04-26,2017-04-26
179,24,8,9,169,191.84,35.6805,2018-05-22,2018-05-22
180,24,8,0,41,2015.263,73.922,2018-08-04,2018-08-04
181,24,8,3,90,1934.409,155.915,2018-01-07,2018-01-07
182,24,8,7,3,1251.834,3.4095,2017-02-03,2017-02-03
183,24,8,6,1,2467.573,2.198,2017-10-09,2017-10-09
184,25,6,0,301,3404.419,851.06,2018-05-19,2018-05-19
185,25,6,5,1,1250.138,1.064,2017-11-08,2017-11-08
186,25,6,8,1,3046.883,2.535,2017-07-21,2017-07-21
187,26,3,3,1503,3294.129,3611.846,2017-09-13,2017-09-13
188,26,3,6,49,1643.49,59.63,2018-10-12,2018-10-12
189,26,3,5,2,3786.559,5.514,2017-03-30,2017-03-30
190,26,3,1,10,1351.26,10.0695,2017-11-19,2017-11-19
191,26,3,4,3,551.84,1.2975,2018-11-04,2018-11-04
192,26,3,8,9,840.123,5.757,2018-06-04,2018-06-04
193,26,3,0,2,1207.707,1.8075,2018-10-14,2018-10-14
194,26,3,6,1,1643.49,1.217,2017-12-16,2017-12-16
195,27,9,7,4053,991.797,1158.6275,2017-01-18,2017-01-18
196,27,9,4,310,582.444,53.798,2018-05-27,2018-05-27
197,27,9,0,599,99.613,24.591,2018-04-26,2018-04-26
198,27,9,2,129,3726.327,133.673,2018-04-28,2018-04-28
199,27,9,8,2,1633.209,0.9235,2018-06-15,2018-06-15
200,27,9,4,1,582.444,0.1735,2018-08-02,2018-08-02
201,27,9,5,2,3931.846,2.185,2018-02-06,2018-02-06
202,28,5,0,3122,3759.286,7309.1865,2018-09-05,2018-09-05
203,28,5,2,988,33.637,50.7865,2018-09-05,2018-09-05
204,28,5,4,550,3626.114,1242.637,2018-03-24,2018-03-24
205,28,5,0,640,3759.286,1498.36,2018-07-19,2018-07-19
206,28,5,7,227,2726.715,387.391,2018-10-16,2018-10-16
207,28,5,3,183,144.865,21.917,2017-05-13,2017-05-13
208,28,5,4,12,3626.114,27.112,2018-06-09,2018-06-09
209,28,5,4,43,3626.114,97.1515,2017-04-12,2017-04-12
210,28,5,1,4,3876.011,9.6515,2018-01-29,2018-01-29
211,28,5,0,2,3759.286,4.6825,2018-09-04,2018-09-04
212,28,5,1,1,3876.011,2.413,2018-09-10,2018-09-10
213,28,5,5,1,480.932,0.3265,2017-01-18,2017-01-18
214,29,9,3,1195,3579.279,4056.3855,2017-12-16,2017-12-16
215,29,9,0,3,99.613,0.42,2017-02-11,2017-02-11
216,29,9,6,3,567.417,1.7325,2018-02-15,2018-02-15
217,30,5,8,895,2638.873,1301.939,2018-04-18,2018-04-18
218,30,5,3,603,144.865,63.5695,2017-07-23,2017-07-23
219,30,5,6,355,4123.426,801.5275,2017-10-21,2017-10-21
220,30,5,9,57,2050.667,64.7785,2018-02-25,2018-02-25
221,30,5,5,305,480.932,87.6065,2018-09-25,2018-09-25
222,30,5,4,6,3626.114,11.9325,2017-05-29,2017-05-29
223,30,5,4,1,3626.114,1.989,2018-08-17,2018-08-17
224,30,5,1,1,3876.011,2.124,2017-10-13,2017-10-13
225,31,2,5,16,2907.22,40.185,2018-08-28,2018-08-28
226,31,2,5,202,2907.22,507.3365,2017-05-18,2017-05-18
227,31,2,8,25,1387.541,30.5225,2018-06-03,2018-06-03
228,31,2,6,189,1415.658,235.264,2017-06-27,2017-06-27
229,31,2,6,5,1415.658,6.224,2018-01-11,2018-01-11
230,31,2,0,28,1093.438,27.1915,2018-01-17,2018-01-17
231,31,2,7,2,125.984,0.299,2018-01-06,2018-01-06
232,31,2,5,5,2907.22,12.558,2017-12-14,2017-12-14
233,31,2,8,4,1387.541,4.8835,2017-01-16,2017-01-16
234,32,5,1,259,3876.011,554.3795,2017-04-30,2017-04-30
235,32,5,6,161,4123.426,366.3315,2017-12-06,2017-12-06
236,32,5,4,229,3626.114,458.966,2017-11-15,2017-11-15
237,32,5,3,504,144.865,53.545,2018-04-12,2018-04-12
238,32,5,4,952,3626.114,1908.015,2017-12-02,2017-12-02
239,32,5,1,179,3876.011,383.1425,2018-12-09,2018-12-09
240,32,5,2,4,33.637,0.1825,2017-03-05,2017-03-05
241,32,5,0,8,3759.286,16.6145,2018-02-15,2018-02-15
242,32,5,0,1,3759.286,2.077,2018-09-24,2018-09-24
243,33,5,5,684,480.932,13.8365,2017-07-19,2017-07-19
244,33,5,3,10,144.865,0.074,2018-05-15,2018-05-15
245,33,5,0,5,3759.286,0.7255,2018-04-25,2018-04-25
246,33,5,9,17,2050.667,1.3605,2018-10-04,2018-10-04
247,33,5,5,3,480.932,0.0605,2018-05-21,2018-05-21
248,33,5,1,3,3876.011,0.4485,2017-04-10,2017-04-10
249,34,3,6,1587,1643.49,1979.663,2018-04-02,2018-04-02
250,34,3,9,175,1441.869,192.3095,2017-11-10,2017-11-10
251,34,3,9,21,1441.869,23.077,2017-09-09,2017-09-09
252,34,3,9,6,1441.869,6.5935,2018-10-27,2018-10-27
253,34,3,8,12,840.123,7.868,2018-05-16,2018-05-16
254,34,3,9,1,1441.869,1.099,2017-09-27,2017-09-27
255,34,3,5,2,3786.559,5.652,2017-09-25,2017-09-25
256,35,3,2,273,3460.824,608.2355,2018-04-05,2018-04-05
257,35,3,8,25,840.123,14.122,2017-03-24,2017-03-24
258,35,3,4,70,551.84,26.735,2017-06-23,2017-06-23
259,35,3,2,62,3460.824,138.134,2018-06-04,2018-06-04
260,35,3,7,11,1353.448,9.797,2017-01-03,2017-01-03
261,35,3,9,13,1441.869,12.3075,2017-01-06,2017-01-06
262,35,3,3,2,3294.129,4.2445,2017-09-05,2017-09-05
263,35,3,6,1,1643.49,1.0745,2017-10-13,2017-10-13
264,36,4,8,56,6654.705,266.3915,2018-07-29,2018-07-29
265,36,4,7,2284,6734.13,10993.669,2017-12-24,2017-12-24
266,36,4,9,409,6048.985,1769.837,2017-09-29,2017-09-29
267,36,4,8,180,6654.705,856.258,2018-02-04,2018-02-04
268,36,4,8,588,6654.705,2797.109,2018-03-22,2018-03-22
269,36,4,9,82,6048.985,354.833,2018-02-20,2018-02-20
270,36,4,4,129,7691.311,708.5275,2017-02-12,2017-02-12
271,36,4,3,129,4194.571,388.4865,2018-09-22,2018-09-22
272,36,4,2,14,4033.422,40.5605,2018-02-19,2018-02-19
273,36,4,2,100,4033.422,289.719,2018-11-26,2018-11-26
274,36,4,3,43,4194.571,129.4955,2018-05-19,2018-05-19
275,36,4,9,41,6048.985,177.4165,2018-06-24,2018-06-24
276,36,4,1,10,7880.779,56.269,2018-04-27,2018-04-27
277,36,4,4,22,7691.311,120.834,2017-10-13,2017-10-13
278,36,4,1,3,7880.779,16.8805,2018-06-12,2018-06-12
279,36,4,1,2,7880.779,11.254,2018-02-11,2018-02-11
280,36,4,6,1,8094.6,5.7785,2018-11-28,2018-11-28
281,37,7,7,1531,1251.834,1790.409,2018-02-17,2018-02-17
282,37,7,3,119,1934.409,212.129,2017-06-27,2017-06-27
283,37,7,1,49,2163.881,97.4475,2018-04-27,2018-04-27
284,37,7,1,75,2163.881,149.1545,2017-03-07,2017-03-07
285,37,7,8,44,568.882,24.4615,2018-08-23,2018-08-23
286,37,7,9,5,191.84,1.086,2017-12-25,2017-12-25
287,38,6,9,334,2634.798,515.795,2017-05-23,2017-05-23
288,38,6,5,413,1250.138,308.8575,2018-05-02,2018-05-02
289,38,6,4,8,3564.579,16.633,2017-06-12,2017-06-12
290,39,9,7,1388,991.797,372.7825,2018-09-04,2018-09-04
291,39,9,3,147,3579.279,137.5375,2018-01-08,2018-01-08
292,39,9,6,16,567.417,2.5465,2017-12-27,2017-12-27
293,39,9,5,55,3931.846,56.4585,2018-02-18,2018-02-18
294,40,8,0,1530,2015.263,2722.529,2017-04-14,2017-04-14
295,40,8,4,59,1660.93,86.974,2017-12-09,2017-12-09
296,40,8,1,884,2163.881,1686.212,2018-06-23,2018-06-23
297,40,8,6,24,2467.573,52.0595,2018-10-14,2018-10-14
298,40,8,2,126,2102.949,233.7275,2018-10-17,2018-10-17
299,40,8,2,7,2102.949,12.985,2018-06-26,2018-06-26
300,40,8,6,4,2467.573,8.6765,2017-06-05,2017-06-05
301,40,8,7,7,1251.834,7.8515,2018-09-05,2018-09-05
302,40,8,9,12,191.84,2.5005,2017-04-17,2017-04-17
303,40,8,8,4,568.882,2.133,2018-09-10,2018-09-10
304,40,8,5,3,2457.793,6.482,2017-11-17,2017-11-17
305,41,2,8,1485,1387.541,1096.407,2018-12-22,2018-12-22
306,41,2,8,605,1387.541,446.684,2017-12-11,2017-12-11
307,41,2,0,1511,1093.438,887.3645,2017-11-17,2017-11-17
308,41,2,7,757,125.984,68.4215,2018-01-31,2018-01-31
309,41,2,4,2,1260.257,1.346,2017-07-30,2017-07-30
310,41,2,1,12,1187.446,7.6265,2018-06-07,2018-06-07
311,41,2,2,9,2742.816,12.9095,2018-05-08,2018-05-08
312,41,2,2,7,2742.816,10.0405,2018-04-14,2018-04-14
313,41,2,5,1,2907.22,1.519,2017-08-17,2017-08-17
314,42,7,6,675,2467.573,244.0285,2017-07-21,2017-07-21
315,42,7,7,129,1251.834,24.1155,2017-06-07,2017-06-07
316,42,7,8,25,568.882,2.222,2018-04-25,2018-04-25
317,42,7,5,6,2457.793,2.1605,2017-01-09,2017-01-09
318,42,7,0,12,2015.263,3.559,2017-06-21,2017-06-21
319,42,7,1,6,2163.881,1.9075,2018-08-08,2018-08-08
320,42,7,1,1,2163.881,0.318,2018-12-03,2018-12-03
321,43,2,7,536,125.984,44.5605,2018-10-01,2018-10-01
322,43,2,4,47,1260.257,29.0915,2017-11-29,2017-11-29
323,43,2,3,1240,2607.866,1556.914,2017-10-12,2017-10-12
324,43,2,0,320,1093.438,172.851,2018-07-02,2018-07-02
325,43,2,9,22,1524.123,16.3595,2018-09-30,2018-09-30
326,43,2,3,26,2607.866,32.645,2018-01-29,2018-01-29
327,44,2,8,41,1387.541,0.784,2018-01-26,2018-01-26
328,44,2,4,65,1260.257,1.1325,2017-06-19,2017-06-19
329,44,2,5,1047,2907.22,41.1795,2017-10-02,2017-10-02
330,44,2,9,381,1524.123,7.9765,2017-01-07,2017-01-07
331,44,2,2,52,2742.816,1.9315,2017-10-29,2017-10-29
332,44,2,2,28,2742.816,1.04,2018-03-15,2018-03-15
333,44,2,1,27,1187.446,0.4445,2017-06-15,2017-06-15
334,44,2,1,14,1187.446,0.2305,2018-11-03,2018-11-03
335,44,2,6,8,1415.658,0.156,2018-03-28,2018-03-28
336,44,2,0,1,1093.438,0.015,2018-11-02,2018-11-02
337,45,3,8,177,840.123,98.848,2018-06-11,2018-06-11
338,45,3,8,32,840.123,17.871,2018-06-09,2018-06-09
339,45,3,0,54,1207.707,42.6105,2018-09-24,2018-09-24
340,45,3,2,50,3460.824,110.1345,2018-03-10,2018-03-10
341,45,3,9,1,1441.869,0.936,2018-04-26,2018-04-26
342,46,6,1,425,3467.988,1250.838,2018-07-23,2018-07-23
343,46,6,8,412,3046.883,1067.431,2018-11-22,2018-11-22
344,46,6,4,134,3564.579,405.21,2018-02-02,2018-02-02
345,46,6,6,22,3619.418,67.5365,2018-08-16,2018-08-16
346,46,6,2,9,1524.831,11.8575,2018-03-04,2018-03-04
347,46,6,7,5,2424.416,10.3505,2017-12-30,2017-12-30
348,46,6,3,8,1551.196,10.7165,2017-05-23,2017-05-23
349,46,6,4,14,3564.579,42.3355,2017-03-27,2017-03-27
350,46,6,5,1,1250.138,1.0875,2017-05-22,2017-05-22
351,46,6,0,2,3404.419,5.78,2017-04-24,2017-04-24
352,46,6,3,4,1551.196,5.358,2018-03-24,2018-03-24
353,46,6,6,2,3619.418,6.1395,2017-12-27,2017-12-27
354,46,6,6,1,3619.418,3.07,2017-05-27,2017-05-27
355,47,9,6,26,567.417,5.0775,2018-02-26,2018-02-26
356,47,9,0,2196,99.613,103.9205,2017-02-10,2017-02-10
357,47,9,9,555,2082.259,374.3105,2018-10-27,2018-10-27
358,47,9,7,262,991.797,86.3345,2018-06-16,2018-06-16
359,47,9,3,21,3579.279,24.107,2018-09-28,2018-09-28
360,47,9,9,45,2082.259,30.3495,2018-03-17,2018-03-17
361,47,9,7,24,991.797,7.9085,2017-11-23,2017-11-23
362,47,9,7,1,991.797,0.3295,2018-07-17,2018-07-17
363,47,9,3,1,3579.279,1.148,2018-08-27,2018-08-27
364,48,1,2,313,3137.899,556.38,2018-11-04,2018-11-04
365,48,1,7,14,387.461,3.415,2018-01-22,2018-01-22
366,48,1,6,202,1019.217,120.4315,2017-09-10,2017-09-10
367,48,1,0,8,708.884,3.385,2018-09-18,2018-09-18
368,48,1,8,3,1507.057,2.6045,2017-03-20,2017-03-20
369,48,1,4,2,1012.876,1.1855,2017-02-11,2017-02-11
370,48,1,1,1,792.541,0.47,2018-04-17,2018-04-17
371,49,0,4,1470,1183.95,857.7965,2017-09-16,2017-09-16
372,49,0,7,105,64.926,5.7065,2017-05-21,2017-05-21
373,49,0,5,189,2958.194,268.8665,2017-01-02,2017-01-02
374,49,0,5,69,2958.194,98.1575,2018-10-22,2018-10-22
375,49,0,2,9,2783.975,12.0615,2017-10-31,2017-10-31
376,50,2,7,301,125.984,40.7295,2018-05-24,2018-05-24
377,50,2,7,137,125.984,18.538,2017-02-21,2017-02-21
378,50,2,2,782,2742.816,1679.264,2017-03-01,2017-03-01
379,50,2,9,5,1524.123,6.0515,2017-06-12,2017-06-12
380,50,2,8,218,1387.541,240.961,2018-09-08,2018-09-08
381,50,2,9,3,1524.123,3.631,2018-01-03,2018-01-03
382,50,2,1,32,1187.446,30.447,2018-03-24,2018-03-24
383,51,9,6,1883,567.417,1091.794,2018-02-16,2018-02-16
384,51,9,8,1955,1633.209,3090.2715,2018-10-17,2018-10-17
385,51,9,2,370,3726.327,1312.149,2018-08-21,2018-08-21
386,51,9,1,277,254.885,79.31,2018-12-02,2018-12-02
387,51,9,6,8,567.417,4.6385,2017-08-17,2017-08-17
388,51,9,7,10,991.797,9.7835,2017-09-16,2017-09-16
389,51,9,1,19,254.885,5.44,2017-02-19,2017-02-19
390,52,0,9,267,1502.542,188.6935,2018-02-04,2018-02-04
391,52,0,7,72,64.926,3.7665,2018-01-29,2018-01-29
392,52,0,8,70,1337.98,44.2265,2018-05-29,2018-05-29
393,52,0,7,118,64.926,6.173,2018-02-15,2018-02-15
394,52,0,7,118,64.926,6.173,2017-11-16,2017-11-16
395,52,0,1,288,1134.972,155.347,2018-11-08,2018-11-08
396,52,0,7,13,64.926,0.68,2018-07-12,2018-07-12
397,52,0,9,112,1502.542,79.1525,2018-03-08,2018-03-08
398,52,0,6,18,1373.149,11.6605,2017-07-23,2017-07-23
399,52,0,7,5,64.926,0.2615,2017-01-11,2017-01-11
400,52,0,9,1,1502.542,0.7065,2018-03-10,2018-03-10
401,53,5,2,583,33.637,11.8245,2017-01-03,2017-01-03
402,53,5,2,77,33.637,1.5615,2017-04-26,2017-04-26
403,53,5,8,227,2638.873,148.0155,2017-06-30,2017-06-30
404,53,5,4,53,3626.114,47.2475,2017-04-15,2017-04-15
405,53,5,4,20,3626.114,17.829,2018-04-26,2018-04-26
406,53,5,7,18,2726.715,12.1205,2018-09-29,2018-09-29
407,53,5,7,10,2726.715,6.7335,2017-12-19,2017-12-19
408,53,5,4,3,3626.114,2.6745,2017-02-26,2017-02-26
409,53,5,7,3,2726.715,2.02,2018-11-03,2018-11-03
410,54,4,7,1389,6734.13,1734.803,2018-01-17,2018-01-17
411,54,4,3,961,4194.571,750.95,2017-02-14,2017-02-14
412,54,4,9,1,6048.985,1.123,2018-03-14,2018-03-14
413,54,4,2,2,4033.422,1.5035,2017-02-13,2017-02-13
